Entry,chr5AS_status,KASP_341510829,BLUP_TGW,BLUP_GL,BLUP_GW,BLUP_SPS,BLUP_HD,BLUP_GFD,BLUP_HT
7-956-2-50-1-44-09,absent,W7984,33.18097603,6.829229011,3.092660635,13.90549712,176.3070043,33.04643647,69.76452086
7-956-2-50-1-44-10,absent,W7984,33.33978567,6.75355628,3.09577498,13.4877933,174.3632544,31.13077122,67.06421815
7-956-2-50-1-50,absent,W7984,30.68349442,6.589803843,3.02808151,13.49317999,172.6814583,29.43525269,70.13015726
7-956-2-50-1-54-07,present,Opata,38.4017657,6.687028277,3.399594822,13.89160106,171.4641238,28.20074871,73.33974632
7-956-2-50-1-55-02,absent,W7984,28.21753791,6.496943931,2.927143298,13.52395256,173.4022281,30.16298513,68.66256376
7-956-2-50-1-61-06,absent,W7984,29.49685399,6.42095096,3.012527984,13.63360676,170.7594057,27.53450931,68.38029757
7-956-2-50-1-61-09,absent,W7984,30.80805881,6.526165539,3.072511977,13.59455605,169.7206868,26.45239343,75.19322879
7-956-2-89-2-17-01,present,Opata,38.69572223,6.88200923,3.400063885,13.9877697,170.7594057,27.53602361,68.16523014
7-956-2-89-2-17-02,present,Opata,37.35931406,6.92851919,3.33436809,13.49539735,171.7979853,28.52669228,74.04142978
7-956-2-89-2-22-01,present,Opata,41.41536918,7.199992611,3.404387895,13.45690511,170.8829781,27.64442194,70.12256497
7-956-2-89-2-22-02,present,Opata,43.10046613,7.407293974,3.447129889,13.30012402,172.2009452,28.96120257,69.53139177
7-956-2-9-2-03-02,present,Opata,41.27570294,6.941220878,3.44128196,13.36049275,173.4022281,30.25990004,54.89824817
7-956-2-9-2-03-05,present,Opata,41.22483196,6.885617459,3.466811366,13.81118366,173.6424847,30.48632503,56.70310294
7-956-2-9-2-07-01,present,Opata,34.05137841,6.977095235,3.225940555,12.55984916,171.2399189,28.02370239,66.82838876
7-956-2-9-2-20-01,present,Opata,40.74941167,6.92514897,3.469022768,13.82783915,171.4801754,28.28495618,63.68669261
7-956-2-9-2-21-05,present,Opata,44.41506647,7.089084876,3.541483038,13.47838191,172.4412018,29.25577086,61.65821213
